# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
3.800000e+02 7.784621e-02 3.236459e-02 2.069137e+09
3.810000e+02 7.773325e-02 3.232600e-02 2.019804e+09
3.820000e+02 7.762393e-02 3.228712e-02 1.971702e+09
3.830000e+02 7.752120e-02 3.224873e-02 1.924674e+09
3.840000e+02 7.741257e-02 3.221078e-02 1.878817e+09
3.850000e+02 7.730757e-02 3.217352e-02 1.834018e+09
3.860000e+02 7.720075e-02 3.213605e-02 1.790291e+09
3.870000e+02 7.708393e-02 3.209906e-02 1.747630e+09
3.880000e+02 7.698006e-02 3.206292e-02 1.705934e+09
3.890000e+02 7.687574e-02 3.202646e-02 1.665265e+09
3.900000e+02 7.677233e-02 3.199073e-02 1.625527e+09
3.910000e+02 7.666961e-02 3.195536e-02 1.586771e+09
3.920000e+02 7.656279e-02 3.192012e-02 1.548900e+09
3.930000e+02 7.645370e-02 3.188449e-02 1.511963e+09
3.940000e+02 7.634528e-02 3.184984e-02 1.475882e+09
3.950000e+02 7.624937e-02 3.181589e-02 1.440655e+09
3.960000e+02 7.614846e-02 3.178162e-02 1.406270e+09
3.970000e+02 7.604255e-02 3.174795e-02 1.372703e+09
3.980000e+02 7.593460e-02 3.171491e-02 1.339945e+09
3.990000e+02 7.583392e-02 3.168209e-02 1.307957e+09
4.000000e+02 7.573460e-02 3.164936e-02 1.276726e+09
4.010000e+02 7.563619e-02 3.161802e-02 1.246244e+09
4.020000e+02 7.552937e-02 3.158636e-02 1.216474e+09
4.030000e+02 7.542528e-02 3.155440e-02 1.187443e+09
4.040000e+02 7.532459e-02 3.152387e-02 1.159066e+09
4.050000e+02 7.522891e-02 3.149391e-02 1.131385e+09
4.060000e+02 7.513050e-02 3.146314e-02 1.104360e+09
4.070000e+02 7.502800e-02 3.143360e-02 1.077962e+09
4.080000e+02 7.492054e-02 3.140431e-02 1.052229e+09
4.090000e+02 7.483123e-02 3.137486e-02 1.027074e+09
4.100000e+02 7.474077e-02 3.134646e-02 1.002523e+09
4.110000e+02 7.464259e-02 3.131916e-02 9.785703e+08
4.120000e+02 7.454350e-02 3.129089e-02 9.551830e+08
4.130000e+02 7.444009e-02 3.126322e-02 9.323444e+08
4.140000e+02 7.435463e-02 3.123799e-02 9.100729e+08
4.150000e+02 7.426168e-02 3.121119e-02 8.882834e+08
4.160000e+02 7.415940e-02 3.118519e-02 8.670716e+08
4.170000e+02 7.406349e-02 3.116161e-02 8.463415e+08
4.180000e+02 7.398326e-02 3.113585e-02 8.260813e+08
4.190000e+02 7.388213e-02 3.111107e-02 8.063354e+08
4.200000e+02 7.378803e-02 3.108938e-02 7.870585e+08
4.210000e+02 7.369690e-02 3.106503e-02 7.682126e+08
4.220000e+02 7.360508e-02 3.104163e-02 7.498500e+08
4.230000e+02 7.351621e-02 3.102093e-02 7.319203e+08
4.240000e+02 7.341599e-02 3.099834e-02 7.143747e+08
4.250000e+02 7.331848e-02 3.097683e-02 6.973171e+08
4.260000e+02 7.324167e-02 3.095799e-02 6.806208e+08
4.270000e+02 7.315348e-02 3.093715e-02 6.643040e+08
4.280000e+02 7.303712e-02 3.091691e-02 6.484320e+08
4.290000e+02 7.296712e-02 3.089990e-02 6.329170e+08
4.300000e+02 7.288325e-02 3.088191e-02 6.177203e+08
4.310000e+02 7.277393e-02 3.086357e-02 6.029590e+08
